overlap_analyzed,scientific_name,TP,FP,FN,precision,sensitivity,f1_score,accuracy,total_detections,total_manual,false_positive_rate,false_negative_rate
1,erithacus rubecula,22,117,9,0.15827338129496402,0.7096774193548387,0.2588235294117647,0.14864864864864866,139,31,0.841726618705036,0.2903225806451613
1,fringilla coelebs,28,196,286,0.125,0.08917197452229299,0.10408921933085502,0.054901960784313725,224,314,0.875,0.910828025477707
1,fulica atra,126,292,84,0.3014354066985646,0.6,0.40127388535031844,0.250996015936255,418,210,0.6985645933014354,0.4
1,galerida cristata,1,23,0,0.041666666666666664,1,0.07999999999999999,0.041666666666666664,24,1,0.9583333333333334,0
1,grus grus,23,82,24,0.21904761904761905,0.48936170212765956,0.3026315789473684,0.17829457364341086,105,47,0.780952380952381,0.5106382978723404
1,hippolais icterina,7,36,0,0.16279069767441862,1,0.28,0.16279069767441862,43,7,0.8372093023255814,0
1,hirundo rustica,6,61,7,0.08955223880597014,0.46153846153846156,0.15,0.08108108108108109,67,13,0.9104477611940298,0.5384615384615384
1,larus argentatus,9,123,29,0.06818181818181818,0.23684210526315788,0.10588235294117646,0.055900621118012424,132,38,0.9318181818181818,0.7631578947368421
1,locustella luscinioides,74,1265,13,0.05526512322628827,0.8505747126436781,0.1037868162692847,0.05473372781065089,1339,87,0.9447348767737117,0.14942528735632185
1,luscinia luscinia,34,426,0,0.07391304347826087,1,0.13765182186234817,0.07391304347826087,460,34,0.9260869565217391,0
1,mareca strepera,10,128,0,0.07246376811594203,1,0.13513513513513511,0.07246376811594203,138,10,0.927536231884058,0
1,muscicapa striata,2,28,5,0.06666666666666667,0.2857142857142857,0.10810810810810811,0.05714285714285714,30,7,0.9333333333333333,0.7142857142857143
1,numenius arquata,2,51,0,0.03773584905660377,1,0.07272727272727272,0.03773584905660377,53,2,0.9622641509433962,0
1,parus major,130,274,121,0.3217821782178218,0.5179282868525896,0.3969465648854962,0.24761904761904763,404,251,0.6782178217821783,0.4820717131474104
1,passer montanus,1,7,0,0.125,1,0.2222222222222222,0.125,8,1,0.875,0
1,periparus ater,6,111,2,0.05128205128205128,0.75,0.096,0.05042016806722689,117,8,0.9487179487179487,0.25
1,phoenicurus phoenicurus,1,76,0,0.012987012987012988,1,0.025641025641025647,0.012987012987012988,77,1,0.987012987012987,0
1,phylloscopus collybita,161,339,111,0.322,0.5919117647058824,0.41709844559585496,0.2635024549918167,500,272,0.678,0.40808823529411764
1,phylloscopus trochilus,4,85,14,0.0449438202247191,0.2222222222222222,0.07476635514018691,0.038834951456310676,89,18,0.9550561797752809,0.7777777777777778
1,pica pica,9,40,6,0.1836734693877551,0.6,0.28125,0.16363636363636364,49,15,0.8163265306122449,0.4
1,poecile montanus,9,35,11,0.20454545454545456,0.45,0.28125000000000006,0.16363636363636364,44,20,0.7954545454545454,0.55
1,poecile palustris,1,31,0,0.03125,1,0.06060606060606061,0.03125,32,1,0.96875,0
1,porzana porzana,2,2358,0,8.47457627118644e-4,1,0.001693480101608806,8.47457627118644e-4,2360,2,0.9991525423728813,0
1,prunella modularis,18,184,0,0.0891089108910891,1,0.1636363636363636,0.0891089108910891,202,18,0.9108910891089109,0
1,pyrrhula pyrrhula,5,61,19,0.07575757575757576,0.20833333333333334,0.1111111111111111,0.058823529411764705,66,24,0.9242424242424242,0.7916666666666666
1,regulus ignicapilla,2,92,0,0.02127659574468085,1,0.04166666666666667,0.02127659574468085,94,2,0.9787234042553191,0
1,regulus regulus,38,240,18,0.1366906474820144,0.6785714285714286,0.22754491017964074,0.12837837837837837,278,56,0.8633093525179856,0.32142857142857145
1,scolopax rusticola,4,63,0,0.05970149253731343,1,0.11267605633802817,0.05970149253731343,67,4,0.9402985074626866,0
1,sitta europaea,5,39,1,0.11363636363636363,0.8333333333333334,0.19999999999999998,0.1111111111111111,44,6,0.8863636363636364,0.16666666666666666
1,spinus spinus,7,248,2,0.027450980392156862,0.7777777777777778,0.05303030303030303,0.027237354085603113,255,9,0.9725490196078431,0.2222222222222222
1,strix aluco,8,96,0,0.07692307692307693,1,0.14285714285714288,0.07692307692307693,104,8,0.9230769230769231,0
1,sylvia atricapilla,4,71,10,0.05333333333333334,0.2857142857142857,0.0898876404494382,0.047058823529411764,75,14,0.9466666666666667,0.7142857142857143
1,sylvia borin,6,136,2,0.04225352112676056,0.75,0.08,0.041666666666666664,142,8,0.9577464788732394,0.25
1,tachybaptus ruficollis,3,2,4,0.6,0.42857142857142855,0.5,0.3333333333333333,5,7,0.4,0.5714285714285714
1,tringa nebularia,4,39,0,0.09302325581395349,1,0.1702127659574468,0.09302325581395349,43,4,0.9069767441860465,0
1,troglodytes troglodytes,25,125,7,0.16666666666666666,0.78125,0.2747252747252747,0.1592356687898089,150,32,0.8333333333333334,0.21875
